CustomerID,Recency,Frequency,Monetary,Cluster,Segment
CUST3000,192,12,77.49,3,Frequent Buyers
CUST3001,81,11,618.57,2,High-Value/VIP
CUST3002,92,15,341.57,3,Frequent Buyers
CUST3003,338,9,240.18,1,At-Risk
CUST3004,270,8,698.9,2,High-Value/VIP
CUST3005,333,9,377.1,1,At-Risk
CUST3006,162,10,410.47,3,Frequent Buyers
CUST3007,72,6,79.16,0,Active/Engaged
CUST3008,339,13,134.64,3,Frequent Buyers
CUST3009,281,10,244.92,1,At-Risk
CUST3010,110,9,204.5,0,Active/Engaged
CUST3011,93,9,323.09,0,Active/Engaged
CUST3012,177,12,136.01,3,Frequent Buyers
CUST3013,254,5,1042.78,2,High-Value/VIP
CUST3014,302,5,300.72,1,At-Risk
CUST3015,237,11,163.61,3,Frequent Buyers
CUST3016,126,10,341.07,0,Active/Engaged
CUST3017,35,6,310.93,0,Active/Engaged
CUST3018,141,8,81.4,0,Active/Engaged
CUST3019,331,9,466.63,1,At-Risk
CUST3020,38,10,81.86,0,Active/Engaged
CUST3021,232,7,192.98,1,At-Risk
CUST3022,82,7,1042.97,2,High-Value/VIP
CUST3023,92,7,273.91,0,Active/Engaged
CUST3024,146,6,187.5,0,Active/Engaged
CUST3025,68,12,566.56,2,High-Value/VIP
CUST3026,327,11,259.86,1,At-Risk
CUST3027,172,9,156.32,0,Active/Engaged
CUST3028,243,11,55.12,3,Frequent Buyers
CUST3029,193,11,331.99,3,Frequent Buyers
CUST3030,126,6,150.66,0,Active/Engaged
CUST3031,80,8,341.55,0,Active/Engaged
CUST3032,97,12,218.14,3,Frequent Buyers
CUST3033,24,12,700.99,2,High-Value/VIP
CUST3034,327,12,52.07,3,Frequent Buyers
CUST3035,90,11,156.82,0,Active/Engaged
CUST3036,364,11,30.48,1,At-Risk
CUST3037,139,11,277.73,3,Frequent Buyers
CUST3038,28,9,196.25,0,Active/Engaged
CUST3039,301,5,602.13,1,At-Risk
CUST3040,246,7,62.99,1,At-Risk
